prop_family,model,n,brier,logloss,avg_p,event_rate
both_1plus_2h,BivarNB,261,0.21316274206896552,0.618962070909636,0.729527969348659,0.6973180076628352
both_1plus_2h,COM-Poisson,261,0.21442198582803143,0.6215468035550833,0.689964374185574,0.6973180076628352
both_1plus_2h,NegBin,261,0.21301416709290014,0.6184954157527228,0.7255581478773059,0.6973180076628352
both_1plus_2h,Poisson,261,0.22239872130501903,0.6479227268093967,0.7980628292971206,0.6973180076628352
both_1plus_2h,WeibullCount,261,0.22358720749493408,0.6517569037435399,0.7988200563984675,0.6973180076628352
match_total,BivarNB,1827,0.2061247400109469,0.6013136610928341,0.4636735632183908,0.4482758620689655
match_total,COM-Poisson,1827,0.20687300335032205,0.6030215525102316,0.48524849565471756,0.4482758620689655
match_total,NegBin,1827,0.20599851565964725,0.6010539701257434,0.47225605165606466,0.4482758620689655
match_total,Poisson,1827,0.20915058718126525,0.611676965492416,0.49373581494862145,0.4482758620689655
match_total,WeibullCount,1827,0.21002410170219055,0.6170345534910384,0.4825774230103996,0.4482758620689655
relative_2h,BivarNB,522,0.23082895019157088,0.6537565499736303,0.407016091954023,0.39846743295019155
relative_2h,COM-Poisson,522,0.23398409030305797,0.6604605666538647,0.41518066825761035,0.39846743295019155
relative_2h,NegBin,522,0.23056672684866092,0.6532320642132899,0.4125046322155674,0.39846743295019155
relative_2h,Poisson,522,0.22937905798639419,0.6505355204587925,0.40455995645941184,0.39846743295019155
relative_2h,WeibullCount,522,0.22987978600535663,0.651501198221406,0.392804121072797,0.39846743295019155
relative_total,BivarNB,522,0.23372250145593867,0.6595333109028991,0.4409908045977012,0.4425287356321839
relative_total,COM-Poisson,522,0.2331480259897179,0.6583234270025157,0.44496610928327873,0.4425287356321839
relative_total,NegBin,522,0.23350730718073362,0.6592395072674059,0.4455828548173082,0.4425287356321839
relative_total,Poisson,522,0.23107224261147077,0.6534548474749187,0.43250954210111797,0.4425287356321839
relative_total,WeibullCount,522,0.23154782928398007,0.6542100409719792,0.42527592275862064,0.4425287356321839
team_2h,BivarNB,1566,0.1993665246487867,0.58250543684827,0.6139621966794381,0.5964240102171137
team_2h,COM-Poisson,1566,0.20063675135624065,0.5860161957119425,0.6059595796368834,0.5964240102171137
team_2h,NegBin,1566,0.19917112080580543,0.5821412693952981,0.6152418964664192,0.5964240102171137
team_2h,Poisson,1566,0.20173618825536124,0.5897067325616894,0.6493682581394961,0.5964240102171137
team_2h,WeibullCount,1566,0.19993208776500637,0.586122400745485,0.6190122605363985,0.5964240102171137
team_total,BivarNB,3132,0.19285965864623242,0.5699356188745002,0.4933284802043423,0.49233716475095785
team_total,COM-Poisson,3132,0.1927517985886843,0.5695308817376029,0.5094554758442393,0.49233716475095785
team_total,NegBin,3132,0.19270268162876286,0.5695851856508409,0.49543094737915816,0.49233716475095785
team_total,Poisson,3132,0.19609380365120999,0.5819992461883398,0.526618246167054,0.49233716475095785
team_total,WeibullCount,3132,0.19814353292464879,0.5931129277606216,0.5227117496807152,0.49233716475095785
