prop_family,threshold,model,n,brier,avg_p,event_rate
both_1plus_2h,1,BivarNB,261,0.21316274206896552,0.729527969348659,0.6973180076628352
both_1plus_2h,1,COM-Poisson,261,0.21442198582803143,0.689964374185574,0.6973180076628352
both_1plus_2h,1,NegBin,261,0.21301416709290014,0.7255581478773059,0.6973180076628352
both_1plus_2h,1,Poisson,261,0.22239872130501903,0.7980628292971206,0.6973180076628352
both_1plus_2h,1,WeibullCount,261,0.22358720749493408,0.7988200563984675,0.6973180076628352
match_total,6,BivarNB,261,0.17544314176245213,0.7408260536398468,0.7816091954022989
match_total,6,COM-Poisson,261,0.1731702647388401,0.7833297174138211,0.7816091954022989
match_total,6,NegBin,261,0.1736727962796437,0.7613382193088472,0.7816091954022989
match_total,6,Poisson,261,0.17735801061305234,0.8472233756830964,0.7816091954022989
match_total,6,WeibullCount,261,0.18017491782248166,0.864487295019157,0.7816091954022989
match_total,7,BivarNB,261,0.2249796830651341,0.6430099616858238,0.6666666666666666
match_total,7,COM-Poisson,261,0.22519371800674035,0.6862114332872329,0.6666666666666666
match_total,7,NegBin,261,0.2238879288761385,0.6624281409126548,0.6666666666666666
match_total,7,Poisson,261,0.2304527262108571,0.7423105062635252,0.6666666666666666
match_total,7,WeibullCount,261,0.23403872951787882,0.7534077504980843,0.6666666666666666
match_total,8,BivarNB,261,0.24718170360153258,0.5436904214559387,0.5555555555555556
match_total,8,COM-Poisson,261,0.24925578514942454,0.5806990128483724,0.5555555555555556
match_total,8,NegBin,261,0.24771612292502224,0.5589455216038197,0.5555555555555556
match_total,8,Poisson,261,0.25345429206483233,0.6162345887718269,0.5555555555555556
match_total,8,WeibullCount,261,0.2553444125789333,0.6149690360153256,0.5555555555555556
match_total,9,BivarNB,261,0.24361095172413794,0.44883218390804597,0.41379310344827586
match_total,9,COM-Poisson,261,0.24608766484863756,0.4745494779305145,0.41379310344827586
match_total,9,NegBin,261,0.24468013417960846,0.45805302511486556,0.41379310344827586
match_total,9,Poisson,261,0.24994429633932463,0.4828144822308762,0.41379310344827586
match_total,9,WeibullCount,261,0.2481799773644246,0.46716433348659003,0.41379310344827586
match_total,10,BivarNB,261,0.2148235837547893,0.36142988505747126,0.2988505747126437
match_total,10,COM-Poisson,261,0.21728988418414608,0.37464541666467077,0.2988505747126437
match_total,10,NegBin,261,0.21515457208084393,0.3652605968744112,0.2988505747126437
match_total,10,Poisson,261,0.21663792134739926,0.35648433922003925,0.2988505747126437
match_total,10,WeibullCount,261,0.21521159336289436,0.32953131524904217,0.2988505747126437
match_total,11,BivarNB,261,0.1850798829118774,0.28592643678160923,0.24521072796934865
match_total,11,COM-Poisson,261,0.18534175823517662,0.2859840568644145,0.24521072796934865
match_total,11,NegBin,261,0.18535941975612513,0.2840039870343724,0.24521072796934865
match_total,11,Poisson,261,0.1848711718866162,0.24810147456770115,0.24521072796934865
match_total,11,WeibullCount,261,0.18501774625586875,0.2161249563218391,0.24521072796934865
match_total,12,BivarNB,261,0.15175423325670498,0.222,0.17624521072796934
match_total,12,COM-Poisson,261,0.15177194828928914,0.2113203545739965,0.17624521072796934
match_total,12,NegBin,261,0.1515186355201486,0.21576287074348163,0.17624521072796934
match_total,12,Poisson,261,0.15133569180677497,0.1629819379032847,0.17624521072796934
match_total,12,WeibullCount,261,0.15220133501285224,0.1323572744827586,0.17624521072796934
relative_2h,0,BivarNB,522,0.23082895019157088,0.407016091954023,0.39846743295019155
